%id dbang dbang_rank
070119 49904 387
280704 49984 388
190504 50009 389
330802 50417 390
190503 50541 391
190118 50560 392
330511 50639 393
190508 50731 394
280207 50817 395
330521 50851 396
190506 50862 397
070406 51068 398
590104 51072 399
190307 51343 400
331302 51590 401
330813 52097 402
190108 52211 403
070303 52230 404
070508 52247 405
190103 52276 406
190110 52321 407
070109 52436 408
330515 52954 409
070301 52977 410
331301 52992 411
070405 53000 412
330804 53024 413
330517 53047 414
480507 53409 415
331406 53422 416
070103 53603 417
280701 53688 418
280703 53714 419
330812 53738 420
330801 53787 421
330514 53921 422
070408 54065 423
190115 54319 424
070113 54482 425
331408 54491 426
070117 54630 427
190507 54711 428
190116 54970 429
190117 54990 430
590109 55334 431
330508 55492 432
190514 55637 434
331513 55637 434
190305 55672 435
330817 55709 436
480506 55843 437
180406 55893 438
480412 56012 439
190124 56119 440
070401 56441 441
330523 56464 442
480411 56581 443
190515 56649 444
331306 56721 445
070403 56906 446
070512 56994 447
331404 56998 448
070118 57269 449
190209 57316 450
070517 57415 451
331509 57560 452
330507 57584 453
330816 57633 454
190123 57812 455
330807 57858 456
280702 57926 457
331407 57984 458
190105 58158 459
330503 58313 460
070505 58346 461
480407 58453 462
330814 58494 463
280706 58512 464
190119 58535 465
330504 58881 466
331515 58922 467
480404 59020 468
070115 59060 469
070309 59064 470
330808 59101 471
070306 59142 472
190113 59179 473
070310 59194 474
070108 59207 475
190203 59235 476
330810 59290 477
180409 59727 478
331503 59835 479
190512 60003 480
331516 60187 481
070111 60214 482
330803 60311 483
070511 60372 484
070404 60419 485
330512 60767 486
330404 60778 487
070410 60860 488
330513 60980 489
070302 61006 490
331504 61028 491
331403 61121 492
330112 61146 493
190201 61199 494
330818 61213 495
330505 61214 496
070504 61222 497
480504 61330 498
190120 61429 499
330815 61467 500
070510 61641 501
330114 61813 502
180408 61842 504
480402 61842 504
480406 61868 505
580105 62039 506
330811 62042 507
580110 62208 508
480413 62242 509
330522 62516 510
070507 62600 511
070112 62667 512
580203 62729 513
330805 62736 514
080104 62850 515
331512 63055 516
180401 63093 517
331402 63119 518
480614 63227 519
330106 63271 520
630606 63276 521
190122 63344 522
480605 63399 523
330406 63456 524
070116 63509 525
331506 63594 526
480408 63637 527
330107 63652 528
080605 63657 529
070501 63752 530
580106 63915 531
330612 64035 532
070104 64162 533
480707 64330 534
190111 64561 535
070110 64600 536
580303 64871 537
330109 64969 538
330111 64980 539
480609 65032 540
070516 65143 541
330120 65170 542
070114 65180 543
070304 65189 544
480505 65208 545
330605 65223 546
080114 65235 547
080604 65282 548
190208 65324 549
331605 65427 550
330402 65500 551
331612 65533 552
580202 65694 553
480715 65724 554
190207 65738 555
630411 65802 556
070515 65847 557
080606 65929 558
331410 65973 559
070102 66030 560
331610 66031 561
480410 66207 562
630610 66251 563
330611 66254 564
630608 66346 565
280705 66436 566
190204 66461 567
331507 66481 568
080601 66544 569
580102 66593 570
080111 66606 571
071101 67041 572
480403 67248 573
580211 67277 574
180410 67367 575
580204 67375 576
330401 67408 577
331604 67431 578
180404 67498 579
480612 67499 580
330602 67590 581
080105 67629 582
630605 67696 583
331508 67766 584
070506 67776 585
480409 67824 586
480405 67888 587
330616 67940 588
071104 68078 589
080603 68094 590
331510 68117 591
331409 68151 592
580109 68190 593
330116 68342 594
580108 68387 595
480606 68563 596
330108 68601 597
580201 68702 598
480710 68709 599
070307 68781 600
580206 68932 601
071105 69007 602
070211 69056 603
630402 69072 604
580305 69075 605
080106 69152 606
580208 69169 607
080611 69280 608
331608 69294 609
190205 69320 610
330121 69333 611
330403 69365 612
330117 69368 613
330603 69488 614
180405 69643 615
580214 69697 616
330113 69957 617
480615 69988 618
331601 70001 619
580104 70006 620
070514 70073 621
080602 70104 622
331607 70138 623
190202 70174 624
080116 70248 625
331514 70264 626
580212 70325 627
630408 70512 628
180403 70532 629
480607 70569 630
330615 70578 631
330119 70629 632
330118 70733 633
480711 70804 634
600815 70884 635
330614 70894 636
331606 70934 637
330110 70969 638
580205 71142 639
331602 71164 640
180411 71250 641
480709 71283 642
071103 71339 643
630609 71355 644
331511 71357 645
080609 71378 646
070209 71469 647
600809 71485 648
071102 71489 649
630615 71556 650
080503 71601 651
580111 71637 652
480113 71651 653
580311 71666 654
630602 71754 655
580209 71787 656
080110 71823 657
080608 71874 658
580107 72030 659
080504 72061 660
080117 72066 661
080113 72068 662
600802 72113 663
600807 72184 664
330604 72257 665
480110 72310 666
331505 72322 667
580302 72385 668
630604 72478 669
480613 72575 670
480712 72591 671
330607 72737 672
070503 72755 673
070212 72807 674
580210 72829 675
330304 72857 676
331611 72918 677
080513 72920 678
480105 72995 679
081101 73016 680
300406 73059 681
480106 73090 682
480706 73116 683
330714 73430 684
330405 73442 685
580304 73813 686
330608 73858 687
330702 73859 688
331609 74025 689
480109 74253 690
330715 74384 692
580312 74384 692
630412 74515 693
600604 74553 694
331007 74640 695
070205 74650 696
190206 74686 697
480604 74735 698
630406 74748 699
080115 74792 700
480608 74802 701
600819 74934 702
480714 74953 703
580306 75006 704
330302 75034 705
080519 75039 706
480610 75285 707
080514 75337 708
070213 75455 709
080406 75483 710
331107 75560 711
070210 75590 712
330312 75593 713
480713 75690 714
331102 75841 715
080610 75847 716
330708 75871 717
480717 75874 718
330609 75909 719
300409 75912 720
020404 75919 721
480716 75922 722
070204 75929 723
580307 75937 724
070214 75982 725
080404 76104 726
630404 76127 727
020413 76223 728
180206 76241 729
330713 76270 730
630607 76340 731
020412 76506 732
080510 76526 733
180208 76644 734
580103 76724 735
080607 76791 736
330703 76795 737
331010 76799 738
331002 76806 739
330308 76841 740
480118 77168 741
480121 77224 742
070509 77310 743
331013 77365 744
331103 77376 745
331106 77469 746
331011 77619 747
330701 77658 748
020409 77681 749
600811 77714 750
480302 77722 751
630603 77761 752
480301 77815 753
300405 77842 754
080512 77972 755
180205 77975 756
600803 78014 757
080502 78108 758
020407 78168 759
670305 78207 760
300403 78242 761
180113 78318 762
580310 78319 763
080515 78340 764
600810 78527 765
180108 78537 766
630407 78593 767
480702 78637 768
630611 78789 769
330306 78956 770
331101 78968 771
480116 79020 772
330307 79052 773
180203 79202 774
330706 79438 775
480104 79505 776
480303 79521 777
670304 79549 778
