%tambon_id year business_proxy credit_proxy pca1 pca2 pca3 pca4 population
10509 1994 0.00268096514745308 1 148 123 127 18 1119
10511 1986 0 1 18 39 42 6 501
10511 1988 0 1 65 56 65 8 576
10511 1990 0 1 81 71 83 11 531
10511 1992 0 1 86 62 82 14 575
10511 1994 0 1 103 79 82 14 583
10601 1986 0.00124223602484472 0 60 38 56 5 805
10601 1988 0.00215285252960172 0 65 55 57 5 929
10601 1990 0.0107642626480086 0 106 76 70 8 929
10601 1992 0.0103734439834025 0 126 96 91 11 964
10601 1994 0.00692383778437191 0 170 112 79 11 1011
10602 1986 0 0 34 30 36 5 965
10602 1988 0 0 35 42 38 5 736
10602 1990 0.00530973451327434 0 52 31 46 10 565
10602 1992 0.00134048257372654 0 125 82 54 8 746
10602 1994 0.00136612021857923 0 144 104 60 12 732
10603 1986 0 0 39 14 16 3 589
10603 1988 0 0 61 17 19 3 548
10603 1990 0 0 68 66 51 8 643
10603 1992 0.00964187327823691 0 113 70 40 8 726
10603 1994 0 0 141 91 62 13 708
10604 1986 0 0 51 36 27 6 567
10604 1988 0 0 70 48 37 7 701
10604 1990 0 0 108 61 31 10 719
10604 1992 0 0 140 114 55 26 801
10604 1994 0 0 150 129 64 15 809
10701 1986 0 0 17 18 27 7 573
10701 1988 0 0 32 31 30 6 534
10701 1990 0 1 91 63 59 4 583
10701 1992 0.00178571428571429 0 85 61 35 2 560
10701 1994 0.00204081632653061 0 82 44 33 2 490
110102 1986 0 0 14 10 19 4 270
110102 1988 0 1 29 19 26 5 286
110102 1990 0.0119760479041916 1 50 41 34 8 334
110102 1992 0.0144404332129964 0 68 55 54 11 277
110102 1994 0.0382165605095541 0 79 68 53 13 314
110103 1986 0.0142348754448399 0 51 41 49 4 562
110103 1988 0.00148809523809524 0 66 53 56 4 672
110103 1990 0.00549450549450549 0 97 91 74 7 728
110103 1992 0 1 126 120 106 17 705
110103 1994 0.0131233595800525 1 161 99 111 22 762
110104 1986 0.0113350125944584 0 49 37 32 9 794
110104 1988 0.00612745098039216 0 70 60 52 7 816
110104 1990 0.00451977401129944 0 106 107 69 11 885
110104 1992 0 0 118 106 70 12 586
110104 1994 0.00884955752212389 1 154 134 97 13 678
110105 1986 0.00171232876712329 0 29 19 35 5 584
110105 1988 0.00347222222222222 1 50 32 43 8 576
110105 1990 0 1 70 56 43 7 662
