%id dtp6 dtp6_rank
280104 24194 387
130410 24202 388
240407 24205 389
131212 24235 390
190703 24275 391
230610 24348 393
711606 24348 393
240402 24426 394
280103 24488 395
211003 24544 396
280112 24617 397
510107 24749 398
211402 24761 399
510102 24763 400
131405 24766 401
240406 24786 402
131213 24825 403
230204 24903 404
570306 24935 405
321007 25096 406
240405 25112 407
420304 25155 408
530305 25192 409
570111 25224 410
280114 25246 411
510103 25265 412
570301 25281 413
190611 25661 414
231105 25684 415
230506 25704 416
240603 25736 417
230209 25857 418
211001 25863 419
321101 25906 420
590105 25921 421
230302 25962 422
211108 26006 423
321103 26039 424
210811 26043 425
190614 26069 426
280502 26105 427
240403 26150 428
230312 26216 429
130902 26247 430
211105 26413 431
280102 26433 432
712802 26532 433
132202 26537 434
051506 26561 435
230308 26577 436
530308 26604 437
230911 26621 438
211803 26851 439
051601 26891 440
211806 26914 441
230611 26943 442
230705 26975 443
210602 27047 444
131406 27169 445
131409 27246 446
051502 27248 447
280105 27279 448
211807 27361 449
050504 27383 450
321004 27405 451
590202 27443 452
590117 27533 453
131407 27590 454
710406 27613 455
240205 27668 456
420307 27693 457
712801 27718 458
713501 27746 459
190606 27879 460
211811 27938 461
230706 27952 462
211406 27962 463
050506 27999 464
700107 28017 465
050501 28027 466
712013 28086 467
230606 28133 468
280107 28183 469
700404 28321 470
280402 28418 471
211401 28429 472
570309 28517 473
420401 28528 474
051504 28555 475
710809 28560 476
210604 28573 477
230707 28577 478
190702 28633 479
711514 28692 480
321002 28748 481
590205 28776 482
211007 28820 483
230909 28939 484
712014 29001 485
712904 29014 486
321005 29021 487
280110 29026 488
131106 29075 489
590110 29118 490
051505 29197 491
700203 29233 492
050614 29258 493
280108 29271 494
240207 29332 495
131304 29371 496
510110 29392 497
280506 29414 498
420301 29417 499
510305 29441 500
530315 29452 501
190607 29495 502
700105 29584 503
570303 29655 504
190701 29663 505
210801 29712 506
211801 29724 507
711610 29734 508
510105 29735 509
230906 29820 510
211109 29915 511
050603 29960 512
190613 29964 513
190608 30048 514
