%substr mjrddis roadlength_rank
051501 1180 1387
080706 1180 1387
170610 1180 1387
211005 1180 1387
080503 1181 1388
130208 1182 1389
140202 1183 1392
230310 1183 1392
681113 1183 1392
040201 1186 1394
310208 1186 1394
150503 1188 1396
680106 1188 1396
020310 1191 1398
550910 1191 1398
260102 1193 1399
070118 1194 1402
470203 1194 1402
470208 1194 1402
641104 1195 1403
010505 1197 1405
090401 1197 1405
620607 1198 1406
050908 1199 1409
340701 1199 1409
532015 1199 1409
230509 1200 1410
311002 1202 1411
390801 1207 1412
120905 1211 1415
190604 1211 1415
322504 1211 1415
330108 1212 1416
390616 1214 1419
480504 1214 1419
620302 1214 1419
040112 1216 1420
310412 1217 1422
350110 1217 1422
090205 1218 1423
380118 1226 1425
740601 1226 1425
220403 1227 1427
540204 1227 1427
510307 1230 1428
240602 1231 1431
520105 1231 1431
712011 1231 1431
540303 1233 1434
600701 1233 1434
640409 1233 1434
700506 1234 1435
190118 1235 1437
610104 1235 1437
330110 1238 1438
321901 1239 1439
290301 1240 1441
710915 1240 1441
350802 1242 1443
670103 1242 1443
090506 1243 1444
380406 1245 1445
400609 1247 1446
320401 1248 1448
480709 1248 1448
600301 1249 1451
620401 1249 1451
710401 1249 1451
110111 1250 1453
131604 1250 1453
530127 1252 1455
670209 1252 1455
280607 1253 1457
400701 1253 1457
630810 1255 1459
680602 1255 1459
750103 1256 1460
460602 1257 1461
360123 1258 1462
120701 1259 1464
670204 1259 1464
220601 1260 1465
470305 1261 1467
600404 1261 1467
131310 1263 1468
130907 1264 1469
090103 1265 1474
190418 1265 1474
190601 1265 1474
230404 1265 1474
321104 1265 1474
170503 1266 1477
370406 1266 1477
460103 1266 1477
190108 1269 1478
250502 1271 1480
620813 1271 1480
130903 1272 1481
190105 1273 1482
060107 1274 1484
690106 1274 1484
220603 1275 1486
531301 1275 1486
480116 1276 1487
080401 1277 1491
300201 1277 1491
440201 1277 1491
540908 1277 1491
640705 1278 1492
590205 1281 1494
661001 1281 1494
550201 1282 1495
330516 1283 1496
190201 1284 1499
200112 1284 1499
600203 1284 1499
360504 1286 1501
540505 1286 1501
670201 1288 1502
131606 1291 1504
712008 1291 1504
050408 1293 1505
480410 1295 1506
212402 1296 1507
220514 1297 1509
230610 1297 1509
150102 1298 1511
330519 1298 1511
451102 1299 1512
470112 1301 1513
331201 1303 1514
070407 1304 1517
280407 1304 1517
330304 1304 1517
330205 1307 1518
510509 1308 1519
080601 1309 1523
190124 1309 1523
330801 1309 1523
650407 1309 1523
080610 1310 1525
630310 1310 1525
430501 1311 1526
490310 1312 1527
360803 1314 1528
680119 1315 1529
211211 1317 1530
541102 1320 1532
710804 1320 1532
323204 1321 1534
680202 1321 1534
620611 1323 1535
200405 1324 1536
090102 1326 1538
360604 1326 1538
660116 1328 1539
210805 1329 1540
661409 1330 1541
350504 1331 1542
520803 1332 1544
570110 1332 1544
330117 1333 1545
221307 1335 1546
110604 1336 1547
360702 1337 1548
331406 1338 1550
711004 1338 1550
250601 1339 1551
280114 1340 1552
030310 1341 1555
510310 1341 1555
551203 1341 1555
090403 1343 1558
370612 1343 1558
680201 1343 1558
270407 1344 1559
040203 1346 1564
080703 1346 1564
320802 1346 1564
370118 1346 1564
700601 1346 1564
211805 1347 1567
410104 1347 1567
600113 1347 1567
100501 1348 1569
690801 1348 1569
380511 1349 1570
430507 1350 1572
470401 1350 1572
100504 1351 1574
210116 1351 1574
630115 1352 1575
420903 1353 1576
160601 1359 1577
140802 1362 1579
330811 1362 1579
270307 1364 1581
520901 1364 1581
380105 1368 1583
730406 1368 1583
323603 1369 1584
130304 1370 1585
140603 1372 1587
550501 1372 1587
010404 1374 1588
221502 1378 1590
